quantity,bin,binBarcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity
4,BIN-04,1777314709514,Shelf 21,4,LeMieux Essence Fly Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,IT08328005,Size: Full,Color: Fondant,,,,Wellington Warehouse,39990,39990,39990,64950,0,0,0.03470198
2,BIN-04,1777314709514,Shelf 21,4,LeMieux Essence Fly Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,IT08328006,Size: Oversize,Color: Fondant,,,,Wellington Warehouse,39990,39990,39990,64950,0,0,
3,BIN-04,1777314709514,Shelf 21,4,LeMieux Essence Fly Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,IT08328004,Size: Cob,Color: Fondant,,,,Wellington Warehouse,39990,39990,39990,64950,0,0,
1,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Arika Shower Tek Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04127029,Color: Grey,Size: 78,,,,Wellington Warehouse,99080,99080,99080,189950,0,0,0.80158514
1,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Arika Shower Tek Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04127031,Color: Grey,Size: 84,,,,Wellington Warehouse,99080,99080,99080,189950,0,0,
3,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Arika Shower Tek Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04127028,Color: Grey,Size: 75,,,,Wellington Warehouse,99080,99080,99080,189950,0,0,
1,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Arika Shower Tek Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04127026,Color: Grey,Size: 69,,,,Wellington Warehouse,99080,99080,99080,189950,0,0,
2,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Arika Shower Tek Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04127027,Color: Grey,Size: 72,,,,Wellington Warehouse,99080,99080,99080,189950,0,0,
4,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Arika Shower Tek Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04127030,Color: Grey,Size: 81,,,,Wellington Warehouse,99080,99080,99080,189950,1,0,
2,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Kudos Shower Pro Waterproof Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04129027,Color: Grey,Size: 72,,,,Wellington Warehouse,123990,123990,123990,239950,0,0,
2,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Kudos Shower Pro Waterproof Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04129028,Color: Grey,Size: 75,,,,Wellington Warehouse,123990,123990,123990,239950,0,0,
1,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Kudos Shower Pro Waterproof Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04129026,Color: Grey,Size: 69,,,,Wellington Warehouse,123990,123990,123990,239950,0,0,
4,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Kudos Shower Pro Waterproof Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04129030,Color: Grey,Size: 81,,,,Wellington Warehouse,123990,123990,123990,239950,0,0,
1,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Kudos Shower Pro Waterproof Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04129031,Color: Grey,Size: 84,,,,Wellington Warehouse,123990,123990,123990,239950,0,0,
0,LVL 2,1771953347959,Fly Sheets 1,2,LeMieux Kudos Shower Pro Waterproof Fly Rug,Horse Wear > Fly & Insect Control > Fly Sheets,IT04129029,Color: Grey,Size: 78,,,,Wellington Warehouse,123990,123990,123990,239950,0,0,0.011824999
0,Shirts,1777650559287,C,1,Solid Citizen Coco Cap-sleeve Equestrian Show Shirt,Rider > Accessories & Apparel > Shirts,SolidCitizenCocoCapSleeveEquestrianShowShirt-Ivory-XS,Color: Ivory,Size: XS,,,,Wellington Warehouse,0,0,0,150000,0,0,0.0358931
