quantity,bin,binBarcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity
-6,,,,,Dandy Products Foam Rail,Stable > Stable Supplies > Misc,DANDY-FOAM-RAIL-4X4.5-SQUARE,Size: 4 Inches (D) x 4.5 Feet,Color: White,Style: Square Rail,,,Drop Ship,45000,45000,45000,75000,0,0,0.06925268
-2,,,,,Dandy Products Coco Mat,Stable > Stable Supplies > Misc,DANDY-COCO-MAT-4X6,Size: 4 Feet x 6 Feet,,,,,Drop Ship,198000,198000,198000,287000,0,0,0.017431995
-3,,,,,Dandy Products Liverpool,Stable > Stable Supplies > Misc,DANDY-LIVERPOOL-10X4X2,Size: 10 Feet x 4 Feet x 2 Inches,,,,,Drop Ship,200000,200000,200000,400000,0,0,0.023063157
-11,,,,,Dandy Products Foam Rail,Stable > Stable Supplies > Misc,DANDY-FOAM-RAIL-4X9-SQUARE,Size: 4 Inches (D) x 9 Feet,Color: White,Style: Square Rail,,,Drop Ship,65000,65000,65000,90000,0,0,0.10646228
-1,,,,,Basics by Tough-1 1200D Turnout Sheet,Horse Wear > Blankets & Sheets > Turnout Blankets & Sheets > Lightweight,34-912-2-81,Color: Black,Size: 81,,,,Drop Ship,45980,45980,45980,78950,0,0,
-2,,,,,Jack's Shoobugs Fly Mask,Horse Wear > Fly & Insect Control > Fly Masks,4305-MI,Size: Mini,,,,,Drop Ship,10030,10030,10030,16990,0,0,0.025080666
-2,,,,,Jack's Shoobugs Fly Mask,Horse Wear > Fly & Insect Control > Fly Masks,4305-C,Size: Cob,,,,,Drop Ship,10030,10030,10030,16990,0,0,0.0299439
-3,,,,,Jack's Shoobugs Fly Mask,Horse Wear > Fly & Insect Control > Fly Masks,4305-F,Size: Full,,,,,Drop Ship,10030,10030,10030,16990,0,0,0.04491585
-2,,,,,Jack's Shoobugs Fly Mask,Horse Wear > Fly & Insect Control > Fly Masks,4305-D,Size: Draft,,,,,Drop Ship,10030,10030,10030,16990,0,0,
-1,,,,,Back On Track Sienna Mesh Cooler,"Horse Wear > Blankets & Sheets > Coolers, Fleece & Covers",21880065,Color: Black,Size: 87,,,,Drop Ship,86000,86000,86000,172000,0,0,
-1,,,,,Back On Track Airflow Exercise Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20987004,Color: White,Size: Extra Large,,,,Drop Ship,52500,52500,52500,105000,0,0,
